id,quadra,lote,area_label_m2,area_poligono_m2,divergencia_pct,vertices
P-1,P,1,206.44,114.97,44.3,4
P-2,P,2,229.38,113.65,50.5,5
P-4,P,4,195.27,122.11,37.5,5
P-5,P,5,160.00,146.30,8.6,8
P-6,P,6,160.00,98.84,38.2,6
P-7,P,7,160.00,93.00,41.9,5
P-8,P,8,160.00,101.80,36.4,7
P-9,P,9,160.00,107.24,33.0,5
P-10,P,10,160.00,139.80,12.6,5
P-11,P,11,160.00,174.23,8.9,6
P-12,P,12,160.00,196.61,22.9,7
P-13,P,13,160.00,196.56,22.8,7
P-14,P,14,160.00,255.22,59.5,8
P-15,P,15,160.00,92.96,41.9,5
P-16,P,16,160.00,259.82,62.4,8
P-17,P,17,160.00,250.29,56.4,7
P-18,P,18,160.00,152.22,4.9,6
P-19,P,19,160.00,171.88,7.4,6
P-20,P,20,160.00,192.13,20.1,9
P-21,P,21,160.00,207.96,30.0,9
P-22,P,22,160.00,222.53,39.1,9
P-23,P,23,160.00,235.64,47.3,10
P-24,P,24,160.00,146.38,8.5,5
P-25,P,25,160.00,80.14,49.9,7
P-26,P,26,160.00,87.41,45.4,5
P-27,P,27,160.00,121.94,23.8,6
P-28,P,28,160.00,152.92,4.4,6
P-29,P,29,160.00,186.15,16.3,8
O-29,O,29,160.00,244.30,52.7,8
P-30,P,30,160.00,198.70,24.2,8
P-31,P,31,160.00,189.87,18.7,7
P-32,P,32,160.00,173.17,8.2,7
P-33,P,33,160.00,73.95,53.8,4
P-34,P,34,160.00,107.57,32.8,6
P-35,P,35,160.00,156.23,2.4,6
P-36,P,36,160.00,254.51,59.1,8
P-37,P,37,160.00,229.05,43.2,8
P-38,P,38,160.00,208.97,30.6,7
P-39,P,39,160.00,184.02,15.0,7
P-40,P,40,160.00,167.57,4.7,5
P-41,P,41,160.00,74.23,53.6,5
P-42,P,42,160.00,94.62,40.9,5
P-43,P,43,160.00,115.72,27.7,6
P-44,P,44,200.00,121.73,39.1,6
P-45,P,45,200.00,120.43,39.8,7
P-46,P,46,200.00,124.49,37.8,6
P-47,P,47,200.00,124.06,38.0,6
Q-1,Q,1,241.15,121.24,49.7,5
Q-2,Q,2,264.09,120.28,54.5,5
Q-3,Q,3,207.03,118.36,42.8,4
Q-4,Q,4,229.98,116.72,49.2,5
Q-5,Q,5,160.00,185.05,15.7,7
Q-6,Q,6,160.00,193.65,21.0,7
Q-7,Q,7,160.00,183.14,14.5,7
Q-8,Q,8,160.00,184.46,15.3,7
Q-9,Q,9,160.00,188.73,18.0,9
Q-10,Q,10,160.00,208.49,30.3,8
Q-11,Q,11,160.00,197.11,23.2,6
Q-12,Q,12,160.00,180.28,12.7,8
Q-13,Q,13,160.00,70.02,56.2,4
Q-14,Q,14,160.00,95.62,40.2,5
Q-15,Q,15,160.00,123.30,22.9,5
Q-16,Q,16,160.00,263.52,64.7,8
Q-17,Q,17,160.00,212.83,33.0,8
Q-18,Q,18,160.00,235.22,47.0,7
Q-19,Q,19,160.00,182.94,14.3,6
Q-20,Q,20,160.00,161.12,0.7,6
Q-21,Q,21,160.00,84.15,47.4,5
Q-22,Q,22,160.00,183.60,14.8,6
Q-23,Q,23,160.00,207.08,29.4,7
Q-24,Q,24,160.00,222.81,39.3,7
Q-25,Q,25,160.00,206.87,29.3,8
O-25,O,25,160.00,92.90,41.9,5
Q-26,Q,26,160.00,210.17,31.4,8
Q-27,Q,27,160.00,217.26,35.8,9
Q-28,Q,28,160.00,226.00,41.3,9
Q-29,Q,29,160.00,157.62,1.5,6
Q-30,Q,30,160.00,74.11,53.7,6
Q-31,Q,31,160.00,224.44,40.3,8
Q-32,Q,32,160.00,239.61,49.8,7
Q-33,Q,33,160.00,261.26,63.3,7
Q-34,Q,34,160.00,253.19,58.2,8
Q-35,Q,35,160.00,183.41,14.6,6
Q-36,Q,36,160.00,194.61,21.6,7
Q-37,Q,37,160.00,196.94,23.1,7
Q-38,Q,38,160.00,267.35,67.1,9
Q-39,Q,39,160.00,95.99,40.0,5
Q-40,Q,40,160.00,261.88,63.7,8
Q-41,Q,41,160.00,250.61,56.6,8
Q-42,Q,42,160.00,242.04,51.3,7
Q-43,Q,43,160.00,233.11,45.7,8
Q-44,Q,44,160.00,196.32,22.7,6
Q-45,Q,45,160.00,194.28,21.4,9
Q-46,Q,46,200.00,122.62,38.7,6
Q-47,Q,47,200.00,121.24,39.4,6
Q-48,Q,48,200.00,120.84,39.6,5
Q-49,Q,49,200.00,114.22,42.9,5
R-1,R,1,195.86,103.74,47.0,4
R-2,R,2,218.80,110.51,49.5,5
R-3,R,3,241.75,108.82,55.0,5
R-4,R,4,264.69,105.89,60.0,4
R-5,R,5,160.00,162.02,1.3,6
R-6,R,6,160.00,231.48,44.7,6
R-7,R,7,160.00,107.68,32.7,5
R-8,R,8,160.00,96.84,39.5,5
R-9,R,9,160.00,212.88,33.1,7
R-10,R,10,160.00,216.87,35.5,7
R-11,R,11,160.00,94.84,40.7,6
R-12,R,12,160.00,97.54,39.0,5
R-13,R,13,160.00,237.15,48.2,8
R-14,R,14,160.00,150.30,6.1,6
R-15,R,15,160.00,186.12,16.3,7
R-16,R,16,160.00,83.29,47.9,5
R-17,R,17,160.00,195.78,22.4,7
R-18,R,18,160.00,189.76,18.6,6
R-19,R,19,160.00,168.40,5.3,6
R-20,R,20,160.00,98.25,38.6,6
R-21,R,21,160.00,149.52,6.6,6
R-22,R,22,160.00,105.91,33.8,4
R-23,R,23,160.00,126.64,20.9,5
R-24,R,24,160.00,186.52,16.6,9
R-25,R,25,160.00,192.05,20.0,8
R-26,R,26,160.00,90.53,43.4,4
O-26,O,26,160.00,179.76,12.4,7
R-27,R,27,160.00,210.89,31.8,6
O-27,O,27,160.00,192.92,20.6,7
R-28,R,28,160.00,211.99,32.5,7
R-29,R,29,160.00,178.90,11.8,6
R-30,R,30,160.00,173.65,8.5,8
R-31,R,31,160.00,212.97,33.1,8
R-32,R,32,160.00,169.04,5.7,7
R-33,R,33,160.00,179.48,12.2,8
R-34,R,34,160.00,179.58,12.2,7
R-35,R,35,160.00,188.62,17.9,6
R-36,R,36,160.00,199.17,24.5,8
R-37,R,37,160.00,184.38,15.2,6
R-39,R,39,160.00,248.04,55.0,6
R-40,R,40,160.00,246.76,54.2,6
R-41,R,41,160.00,250.97,56.9,8
R-42,R,42,160.00,260.76,63.0,8
R-43,R,43,160.00,240.22,50.1,8
